year,plant,country_code,start_tech,end_tech,switch_type,capital_cost,scenario_tech_moratorium,scenario_carbon_tax,scenario_green_premium,scenario_electricity_cost_scenario,scenario_hydrogen_cost_scenario,scenario_steel_demand_scenario,region_wsa_region,region_continent,region_region
2023,Kinsteel steel plant,MYS,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Other Asia,Asia,South-eastern Asia
2023,ThyssenKrupp Steel Duisburg steel plant,DEU,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,EU + UK,Europe,Western Europe
2023,Kangson Works steel plant,PRK,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,Other Asia,Asia,Eastern Asia
2023,Angang Steel Company Limited,CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Hebei Xin Wu'an Steel Group Hongrong Iron and Steel Co., Ltd.",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Shandong Minyuan Iron and Steel Co., Ltd.",CHN,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Minmetals Yingkou Medium Plate Co., Ltd.",CHN,Avg BF-BOF,Avg BF-BOF,no switch,187.5,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Baotou Steel (Group) Co., Ltd.",CHN,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Kehler Baden Steel Works,DEU,EAF,EAF,no switch,125.411,True,False,True,average,average,average,EU + UK,Europe,Western Europe
2023,"Hebei Xinghua Iron and Steel Co., Ltd.",CHN,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Pittini Acciaierie di Verona steel plant,ITA,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2023,"Shandong Longsheng Iron and Steel Co., Ltd.",CHN,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,Zlatoust Metallurgical Plant,RUS,EAF,EAF,no switch,125.411,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2023,HIC-Nippon Perwaja Steel plant,MYS,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Other Asia,Asia,South-eastern Asia
2023,Hwanghae Iron and Steel Complex steel plant,PRK,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Other Asia,Asia,Eastern Asia
2023,ArcelorMittal Asturias (Gijón) steel plant,ESP,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2023,"Tangshan Xinbaotai Iron and Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,ArcelorMittal Tubarão steel plant,BRA,Avg BF-BOF,Close plant,main cycle,0.0,True,False,True,average,average,average,Central and South America,South America,South America
2023,Egyptian American Steel Rolling Company plant,EGY,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Africa,Africa,Northern Africa
2023,Pittini Ferriere Nord steel plant,ITA,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,EU + UK,Europe,Southern Europe
2023,Zavolzhsky Motor Plant,RUS,Close plant,Close plant,no switch,0.0,True,False,True,average,average,average,CIS,Europe,Eastern Europe
2023,SSAB Americas Iowa steel plant,USA,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,USMCA,North America,Northern America
2023,SeAH Changwon Integrated Special Steel plant,KOR,Close plant,Close plant,trans switch,0.0,True,False,True,average,average,average,Other Asia,Asia,Eastern Asia
2023,Siddik Kardesler steel plant,TUR,EAF,EAF,no switch,125.411,True,False,True,average,average,average,Other Asia,Asia,Western Asia
2023,"Anhui Guihang Special Steel Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Guangxi Iron and Steel Group Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Chongli Steel Manufacturing Co., Ltd.",CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,BMM Ispat steel plant,IND,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,India,Asia,Southern Asia
2023,Outokumpu Tornio steel plant,FIN,EAF,EAF,no switch,125.411,True,False,True,average,average,average,EU + UK,Europe,Northern Europe
2023,Celsa Steel UK plant,GBR,EAF,EAF,no switch,125.411,True,False,True,average,average,average,EU + UK,Europe,Northern Europe
2023,Liu'an Steel HAvg BF-BOF,CHN,BAT BF-BOF,BAT BF-BOF,no switch,285.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2023,"Guizhou Ganglian Industrial Group Co., Ltd.",CHN,EAF,EAF,no switch,125.411,True,False,True,average,average,average,China,Asia,Eastern Asia
