,year,steel_plant,technology,capacity,country_code,production,low_carbon_tech,s1_emissions,s2_emissions,s3_emissions,scenario_tech_moratorium,scenario_carbon_tax,scenario_green_premium,scenario_electricity_cost_scenario,scenario_hydrogen_cost_scenario,scenario_steel_demand_scenario,region_wsa_region,region_continent,region_region
2230,2024,"Wu'an Mingfang Iron and Steel Co., Ltd.",Avg BF-BOF,3.0,CHN,3.787178878676688,N,9.47653149182031,0.0,0.8349196747002768,True,False,True,average,average,average,China,Asia,Eastern Asia
2231,2024,"Hebei Xin Wu'an Steel Group Hongrong Iron and Steel Co., Ltd.",Close plant,2.25,CHN,2.840384159007516,N,0.0,0.0,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2232,2024,"Hebei Xinghua Iron and Steel Co., Ltd.",Close plant,2.0,CHN,2.5247859191177917,N,0.0,0.0,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2233,2024,"Tangshan Xinbaotai Iron and Steel Co., Ltd.",Close plant,3.0,CHN,3.787178878676688,N,0.0,0.0,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2234,2024,"Tangshan Jinma Steel Group Co., Ltd.",BAT BF-BOF,2.4,CHN,3.02974310294135,N,5.937543866150706,0.0,0.4843730423546848,True,False,True,average,average,average,China,Asia,Eastern Asia
2235,2024,"Hebei Xinda Iron and Steel Co., Ltd.",BAT BF-BOF,7.5,CHN,9.46794719669172,N,18.554824581720958,0.0,1.51366575735839,True,False,True,average,average,average,China,Asia,Eastern Asia
2236,2024,"Tangshan Donghai Iron and Steel Group Co., Ltd.",Close plant,6.0,CHN,7.574357757353376,N,0.0,0.0,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2237,2024,"Tangshan Wenfeng Special Steel Co., Ltd.",BAT BF-BOF,1.0,CHN,1.2623929595588959,N,2.4739766108961274,0.0,0.20182210098111866,True,False,True,average,average,average,China,Asia,Eastern Asia
2238,2024,"Hebei Huaxi Iron and Steel Co., Ltd.",Close plant,1.2,CHN,1.514871551470675,N,0.0,0.0,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2239,2024,"Qinhuangdao Hongxing Iron and Steel Co., Ltd.",BAT BF-BOF,5.0,CHN,6.311964797794479,N,12.369883054480637,0.0,1.0091105049055933,True,False,True,average,average,average,China,Asia,Eastern Asia
2240,2024,"Xinji Aosen Iron & Steel Co., Ltd.",Close plant,3.6,CHN,4.544614654412025,N,0.0,0.0,0.0,True,False,True,average,average,average,China,Asia,Eastern Asia
2241,2024,"Heilongjiang Jianlong Iron and Steel Co., Ltd.",BAT BF-BOF,2.0,CHN,2.5247859191177917,N,4.947953221792255,0.0,0.4036442019622373,True,False,True,average,average,average,China,Asia,Eastern Asia
